descrittore,P,R,metodo,griglia,orientazioni,px_per_cella,celle_per_blocco,dim,acc_chi2,acc_euclidea
LBP,8,1,uniform,"(8,8)",,,,640,0.551,0.502
LBP,8,2,uniform,"(8,8)",,,,640,0.651,0.618
LBP,8,2,uniform,"(10,10)",,,,1000,0.673,0.659
LBP,16,2,uniform,"(8,8)",,,,1152,0.664,0.606
LBP,8,1,nri_uniform,"(7,7)",,,,2891,0.728,0.648
LBP,8,2,nri_uniform,"(8,8)",,,,3776,0.748,0.704
LBP,8,2,nri_uniform,"(10,10)",,,,5900,0.752,0.689
HOG,,,,,9,"(8,8)","(2,2)",540,,0.551
HOG,,,,,9,"(4,4)","(2,2)",3168,,0.648
HOG,,,,,12,"(8,8)","(2,2)",720,,0.542
HOG,,,,,9,"(8,8)","(3,3)",648,,0.535
HOG,,,,,9,"(16,16)","(2,2)",72,,0.336
